OrderId,  OrderItemId,  QuantityOrdered,  ItemPrice,  PromotionDiscount

1,          101,          5,              100.0,      10.0

2,          102,          3,              50.0,       5.0

3,          103,          2,              75.0,       7.5

4,          104,          4,              200.0,      20.0

5,          105,          1,              150.0,      15.0

6,          106,          6,              300.0,      30.0

7,          107,          8,              250.0,      25.0

8,          108,          9,              400.0,      40.0

9,          109,          7,              350.0,      35.0

10,         110,         10,              500.0,      50.0
